INST,OUTPUT
Le joueur doit résoudre des additions de niveau CE1 pour avancer dans le jeu.,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant une addition à résoudre pour pouvoir les ouvrir. En utilisant ses compétences en mathématiques de niveau CE1, le joueur doit calculer correctement le résultat de chaque addition pour progresser dans sa quête. Chaque porte ouverte lui permettra d'accéder à de nouveaux défis et récompenses.
MC2 : Sur son chemin, le joueur rencontre un groupe d'ennemis qui le défient à des épreuves mathématiques. Pour les vaincre et continuer son périple, le joueur doit résoudre des additions de niveau CE1 le plus rapidement possible. Chaque réponse correcte affaiblit ses adversaires, tandis que les erreurs renforcent leur puissance. Seul en maîtrisant les additions, le joueur pourra triompher de ses ennemis et avancer dans le jeu.
MC3 : Le joueur arrive devant un pont effondré, bloquant son avancée. Pour le reconstruire et traverser en toute sécurité, le joueur doit résoudre une série d'additions de niveau CE1. Chaque calcul correctement résolu permet de poser une nouvelle planche sur le pont, le rapprochant un peu plus de l'autre rive. En revanche, toute erreur dans les calculs pourrait fragiliser la structure du pont et mettre en péril la progression du joueur."
Le joueur doit reconnaître et nommer les consonnes difficiles dans un mini-jeu de reconnaissance de lettres (MD) et résoudre des énigmes basées sur ces consonnes pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve dans une forêt mystérieuse où des arbres géants portent des inscriptions étranges. Chaque inscription contient une consonne difficile à reconnaître. Pour progresser à travers la forêt, le joueur doit identifier et nommer correctement ces consonnes. En résolvant ces énigmes, il débloquera des chemins secrets et des trésors cachés.
MC2 : Le joueur se trouve face à une porte magique protégée par des runes anciennes. Ces runes sont composées de consonnes difficiles à déchiffrer. Pour ouvrir la porte et accéder à la prochaine étape de son aventure, le joueur doit résoudre des énigmes basées sur ces consonnes. Chaque réponse correcte rapproche le joueur de son objectif, mais une erreur pourrait déclencher des pièges mortels.
MC3 : Le joueur est confronté à un labyrinthe complexe où des panneaux indiquent des directions en utilisant des consonnes peu communes. Pour trouver la sortie du labyrinthe, le joueur doit décoder ces indications en reconnaissant les consonnes difficiles et en les associant aux bonnes directions. Chaque choix correct le rapproche de la liberté, mais une mauvaise interprétation pourrait le conduire à des impasses dangereuses."
Le joueur doit reconnaître et nommer les lettres de l'alphabet niveau facile (MD) en associant chaque lettre à son nom. Le joueur doit ensuite compléter un puzzle où les lettres de l'alphabet sont mélangées et les replacer dans l'ordre correct (MS).,"MC1 : Le joueur se retrouve dans une bibliothèque enchantée où les livres prennent vie. Chaque livre contient une lettre de l'alphabet, mais elles sont toutes mélangées. Pour avancer dans sa quête, le joueur doit nommer chaque lettre correctement en associant son nom. Une fois toutes les lettres identifiées, il pourra déverrouiller un passage secret et accéder à de précieux indices pour résoudre le puzzle final.
MC2 : Le joueur se trouve face à un mur de pierre orné de symboles mystérieux. Ces symboles représentent les lettres de l'alphabet, mais dans un ordre aléatoire. Pour progresser, le joueur doit déchiffrer les symboles et les replacer dans l'ordre correct. Chaque fois qu'une lettre est correctement placée, une partie du mur s'effondre, révélant un indice crucial pour résoudre le puzzle final et avancer dans l'aventure.
MC3 : Le joueur découvre une ancienne machine à écrire magique qui fonctionne uniquement avec les lettres de l'alphabet. Cependant, les touches de la machine sont toutes mélangées, rendant la tâche difficile. Pour activer la machine et obtenir un indice vital, le joueur doit reconstituer l'alphabet en plaçant chaque lettre à sa bonne place. Une fois l'alphabet complet, la machine révèlera un message secret qui l'aidera à résoudre le puzzle final et progresser dans le jeu."
Le joueur doit associer chaque objet à sa couleur correspondante en surmontant des défis de tri et de classification (MD) pour progresser dans le jeu et apprendre les couleurs de manière ludique (MS).,"MC1 : Le joueur se retrouve dans une pièce remplie d'objets de différentes couleurs mélangés. Pour avancer, il doit trier les objets en les associant à leur couleur correspondante. Par exemple, il devra placer les pommes rouges dans le panier rouge, les bananes jaunes dans le panier jaune, etc. Chaque fois qu'il réussit à trier correctement un groupe d'objets, il gagne des points et débloque de nouveaux défis.
MC2 : Le joueur se trouve devant un puzzle géant composé de pièces de différentes couleurs. Pour résoudre ce puzzle et avancer dans le jeu, il doit associer chaque pièce à sa couleur correspondante. En reliant les pièces de la même couleur entre elles, il pourra reconstituer une image ou un motif. Plus il avance dans le puzzle, plus il découvre de nouvelles couleurs et renforce sa capacité à les reconnaître.
MC3 : Le joueur est confronté à une série de portes verrouillées, chacune affichant une couleur différente. Pour ouvrir ces portes et progresser, il doit résoudre des énigmes basées sur l'association des objets à leur couleur. Par exemple, il pourrait devoir trouver le bon code couleur en observant des indices visuels dans l'environnement du jeu. Chaque porte ouverte le rapproche un peu plus de la victoire finale, où il pourra démontrer sa maîtrise des couleurs."
Le joueur doit apprendre les chiffres de 0 à 10 en associant chaque chiffre à son équivalent numérique (MD) et en complétant une série de puzzles numériques pour vérifier sa compréhension (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de coffres verrouillés, chacun affichant un chiffre de 0 à 10 en lettres. Pour ouvrir les coffres et découvrir les trésors cachés à l'intérieur, le joueur doit associer chaque chiffre à son équivalent numérique. En résolvant correctement chaque énigme, il pourra progresser et obtenir des récompenses précieuses. En cas d'erreur, les coffres resteront fermés et le joueur devra recommencer jusqu'à ce qu'il maîtrise parfaitement les chiffres et leurs équivalents numériques.

MC2 : Le joueur se trouve face à un mur recouvert de puzzles numériques, chacun représentant un chiffre de 0 à 10. Pour avancer, le joueur doit compléter chaque puzzle en associant le chiffre à son équivalent numérique. Chaque puzzle résolu lui permettra de débloquer une partie du mur, révélant ainsi le chemin vers de nouvelles énigmes à résoudre. En cas d'erreur, le mur restera infranchissable et le joueur devra revoir ses connaissances numériques pour progresser.

MC3 : Le joueur est confronté à une série de portes verrouillées, chacune affichant un chiffre de 0 à 10. Pour ouvrir ces portes et accéder à la suite de l'aventure, le joueur doit associer chaque chiffre à son équivalent numérique. En résolvant correctement chaque énigme, il pourra déverrouiller les portes et découvrir ce qui se cache derrière. En revanche, en cas d'erreur, les portes resteront fermées et le joueur devra retravailler ses connaissances numériques pour avancer dans le jeu."
Le joueur doit identifier les parties du corps humain (MD) en associant chaque partie à son nom en anglais dans un jeu de memory (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de cartes retournées, chacune représentant une partie du corps humain en anglais. Pour progresser, il doit retourner deux cartes à la fois et les associer correctement en identifiant la partie du corps et son nom en anglais. S'il réussit, les cartes disparaissent et il peut continuer à chercher les paires. En revanche, s'il se trompe, les cartes se retournent à nouveau et il doit recommencer. 
MC2 : Le joueur se trouve devant un puzzle géant représentant le corps humain, mais les pièces sont mélangées et il doit les remettre dans le bon ordre. Chaque pièce porte le nom d'une partie du corps en anglais, et le joueur doit les assembler correctement pour reconstituer l'image complète. S'il parvient à reconstituer le puzzle, il pourra avancer dans le jeu. En cas d'erreur, il devra recommencer jusqu'à ce que le puzzle soit résolu. 
MC3 : Le joueur est confronté à un tableau blanc sur lequel sont affichés des mots en anglais correspondant à différentes parties du corps. Il doit relier chaque mot à la bonne illustration du corps humain qui lui est associée. En reliant correctement les mots aux images, le joueur pourra déverrouiller un coffre contenant des récompenses. En cas d'erreur, le coffre restera fermé et le joueur devra trouver la bonne correspondance pour avancer."
Le joueur doit se rappeler des tables d'addition (MD) et résoudre un problème en donnant la somme de deux nombres (MS).,"MC1 : Le joueur se retrouve face à un coffre mystérieux, verrouillé par un code numérique. Pour ouvrir le coffre et découvrir son contenu précieux, le joueur doit résoudre un calcul d'addition. Par exemple, s'il voit les nombres 8 et 5 inscrits sur le coffre, il devra donner la bonne réponse, soit 13. En cas de succès, le coffre s'ouvrira et révélera des récompenses. En revanche, en cas d'erreur, le coffre restera fermé et le joueur devra trouver la bonne réponse pour avancer.

MC2 : Le joueur se trouve devant un labyrinthe complexe, où chaque intersection affiche deux nombres. Pour choisir le bon chemin et éviter les pièges, le joueur doit calculer la somme des deux nombres et se diriger vers la bonne direction. Par exemple, s'il voit les nombres 6 et 3, il devra se rappeler que leur somme est 9 pour avancer dans le labyrinthe. Chaque bon choix le rapprochera de la sortie, tandis qu'une erreur le fera reculer dans le dédale.

MC3 : Le joueur est confronté à une énigme mathématique posée par un gardien énigmatique. Pour prouver sa valeur et continuer son périple, le joueur doit résoudre un calcul d'addition. Si le gardien lui demande la somme de 7 et 4, le joueur devra répondre correctement, soit 11, pour obtenir la clé qui ouvrira la porte vers de nouveaux défis. En cas d'erreur, le gardien lui posera une nouvelle énigme à résoudre avant de pouvoir avancer."
Le joueur doit mémoriser les tables de multiplication et résoudre des défis mathématiques en donnant le résultat correct (MD) pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve face à une énigme complexe, composée de plusieurs chiffres entremêlés. Pour progresser, il doit résoudre une série de calculs de multiplication en utilisant ses connaissances des tables de multiplication. Chaque réponse correcte le rapproche un peu plus de la solution finale, tandis que chaque erreur le fait reculer. Seul un esprit vif et rapide pourra déchiffrer cette énigme mathématique et continuer son aventure.

MC2 : Le joueur se trouve devant un coffre-fort verrouillé, dont le code d'accès est basé sur des calculs de multiplication. Pour ouvrir le coffre et obtenir le trésor caché à l'intérieur, le joueur doit résoudre une série de calculs en utilisant les tables de multiplication. Chaque réponse correcte le rapproche un peu plus de la combinaison gagnante, tandis que chaque erreur le ralentit dans sa quête. Seul celui qui maîtrise parfaitement les tables de multiplication pourra débloquer le coffre-fort et récolter les récompenses.

MC3 : Le joueur se retrouve face à un labyrinthe complexe, où chaque intersection est marquée d'un calcul de multiplication. Pour trouver le bon chemin et sortir du labyrinthe, le joueur doit résoudre correctement chaque calcul en se basant sur ses connaissances des tables de multiplication. Chaque mauvaise réponse le fait tourner en rond, tandis que chaque bonne réponse le rapproche de la sortie. Seul celui qui sait utiliser les tables de multiplication de manière efficace pourra s'échapper du labyrinthe et poursuivre son aventure."
Le joueur doit associer chaque animal à son cri correspondant (MD) en complétant un puzzle où les animaux sont représentés avec leur cri écrit à côté d'eux (MS).,"MC1 : Le joueur se retrouve dans une forêt enchantée où les animaux parlent et demandent de l'aide pour retrouver leur cri. En résolvant le puzzle, le joueur doit associer chaque animal à son cri correspondant en les plaçant correctement. S'il réussit, les animaux le remercieront en lui ouvrant un passage secret vers de précieux trésors cachés. En revanche, s'il se trompe, les animaux resteront muets et le joueur devra recommencer jusqu'à ce qu'il trouve la bonne association.

MC2 : Le joueur se trouve dans un zoo magique où les animaux ont perdu leur voix. Pour les aider à retrouver leur cri, le joueur doit résoudre un puzzle complexe où chaque animal est représenté avec son cri écrit à côté de lui. En associant correctement chaque animal à son cri, le joueur déclenche un sortilège qui redonne la voix aux animaux. S'il réussit, les animaux le remercieront en lui offrant des indices précieux pour avancer dans sa quête. En cas d'erreur, les animaux resteront silencieux et le joueur devra recommencer jusqu'à ce qu'il trouve la bonne association.

MC3 : Le joueur se retrouve dans un monde fantastique où les animaux sont les gardiens des connaissances anciennes. Pour obtenir leur aide, le joueur doit résoudre un puzzle mystérieux où chaque animal est accompagné de son cri écrit à côté de lui. En associant correctement chaque animal à son cri, le joueur débloque un passage secret vers une bibliothèque secrète remplie de savoirs oubliés. S'il réussit, les animaux le guideront vers la sagesse. En revanche, en cas d'erreur, les animaux resteront silencieux et le joueur devra chercher une autre solution pour accéder aux connaissances cachées."
Le joueur doit écrire le nom des couleurs (MD) en résolvant des énigmes qui lui demandent d'identifier la couleur correspondante à un objet donné (MS).,"MC1 : Le joueur se retrouve dans une pièce sombre remplie d'objets colorés mais étrangement mal éclairés. Pour avancer, il doit résoudre des énigmes qui consistent à associer chaque objet à sa couleur. Par exemple, il pourrait être confronté à un objet rouge et devra écrire le nom de cette couleur pour progresser. Chaque bonne réponse le rapproche de la sortie, mais une erreur le maintiendrait dans l'obscurité, l'empêchant de continuer son chemin.
MC2 : Le joueur se trouve face à un puzzle complexe composé de pièces de différentes couleurs. Pour reconstituer l'image et avancer dans le jeu, il doit identifier correctement chaque couleur et écrire son nom. Par exemple, une pièce bleue devra être associée à la couleur ""bleu"" pour être placée correctement. Chaque erreur complique la résolution du puzzle, tandis que chaque bonne réponse le rapproche de la victoire.
MC3 : Le joueur est confronté à un tableau magique qui change de couleur à chaque mouvement. Pour déverrouiller le passage secret et progresser, il doit rapidement identifier la couleur affichée sur le tableau et l'écrire correctement. Par exemple, si le tableau devient vert, le joueur devra écrire ""vert"" pour débloquer le mécanisme. Chaque bonne réponse le rapproche de la récompense cachée derrière le tableau, mais une erreur le maintiendrait dans l'incertitude."
Le joueur doit associer le nom des animaux à leur image correspondante (MD) et résoudre des énigmes basées sur le nom des animaux pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve dans une forêt enchantée où des animaux mystérieux se cachent parmi les arbres. Chaque animal est représenté par une image, mais son nom est dissimulé. Pour progresser, le joueur doit associer correctement chaque image à son nom d'animal correspondant. S'il réussit, il débloque un chemin secret qui le mènera vers de précieux trésors. En revanche, s'il se trompe, il risque de se perdre dans la forêt et de devoir recommencer sa quête depuis le début.
MC2 : Le joueur arrive devant un temple ancien gardé par des statues d'animaux énigmatiques. Chaque statue porte un nom d'animal gravé en lettres anciennes, mais le joueur doit résoudre des énigmes basées sur ces noms pour ouvrir les portes du temple. Par exemple, en déchiffrant le nom de l'animal ""lion"", le joueur pourrait être confronté à une énigme sur les caractéristiques de cet animal. S'il parvient à résoudre toutes les énigmes, il pourra accéder aux trésors cachés à l'intérieur du temple.
MC3 : Le joueur se retrouve sur une île mystérieuse habitée par des créatures fantastiques. Chaque créature possède un nom unique, mais pour interagir avec elles et progresser dans l'aventure, le joueur doit d'abord deviner de quel animal il s'agit. Par exemple, en rencontrant une créature nommée ""phénix"", le joueur pourrait devoir résoudre une énigme basée sur les caractéristiques légendaires de cet animal pour obtenir des indices sur la suite de son périple. En cas d'erreur, la créature pourrait se montrer hostile et mettre en péril la progression du joueur."
Le joueur doit conjuguer un verbe donné au présent (MD) et doit compléter des phrases en conjuguant correctement les verbes au présent (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de portes verrouillées, chacune affichant une phrase incomplète avec un verbe à conjuguer au présent. Pour avancer, le joueur doit compléter correctement chaque phrase en conjuguant le verbe donné au présent. Chaque réponse correcte lui permettra d'ouvrir une porte et de progresser dans sa quête, mais une erreur le ramènera au début du défi.
MC2 : Le joueur se trouve face à un mur de mots mêlés, où se cachent des verbes à conjuguer au présent. Pour débloquer le passage, le joueur doit trouver et conjuguer correctement chaque verbe au présent. Chaque verbe correctement conjugé lui permettra de dégager un chemin à travers les mots, mais une conjugaison erronée le fera reculer dans sa progression.
MC3 : Le joueur est confronté à un énigme linguistique, où des phrases incomplètes sont suspendues dans les airs. Pour résoudre l'énigme et avancer, le joueur doit conjuguer les verbes manquants au présent. Chaque phrase correctement complétée le rapprochera de la résolution de l'énigme, mais une conjugaison incorrecte le fera tourner en rond, incapable de trouver la solution."
